,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/10/19,A,Brighton,(15.),Watford ,Watford (17.),0:3,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Leandro Trossard
1,2,8/17/19,H,Brighton,(5.),West Ham ,West Ham (20.),1:1,AM,1,,,,,85',,,,Leandro Trossard
2,3,8/24/19,H,Brighton,(5.),Southampton ,Southampton (19.),0:2,LW,,,,,,90',,,,Leandro Trossard
3,4,8/31/19,A,Brighton,(8.),Man City ,Man City (2.),4:0,LW,,,,,,74',,,,Leandro Trossard
4,5,9/14/19,H,Brighton,(16.),Burnley ,Burnley (12.),1:1,Groin Injury,Groin Injury,Groin Injury,Groin Injury,Groin Injury,Groin Injury,Groin Injury,Groin Injury,,,Leandro Trossard
5,6,9/21/19,A,Brighton,(16.),Newcastle ,Newcastle (18.),0:0,Groin Injury,Groin Injury,Groin Injury,Groin Injury,Groin Injury,Groin Injury,Groin Injury,Groin Injury,,,Leandro Trossard
6,7,9/28/19,A,Brighton,(15.),Chelsea ,Chelsea (11.),2:0,Groin Injury,Groin Injury,Groin Injury,Groin Injury,Groin Injury,Groin Injury,Groin Injury,Groin Injury,,,Leandro Trossard
7,8,10/5/19,H,Brighton,(16.),Spurs ,Spurs (6.),3:0,Groin Injury,Groin Injury,Groin Injury,Groin Injury,Groin Injury,Groin Injury,Groin Injury,Groin Injury,,,Leandro Trossard
8,9,10/19/19,A,Brighton,(14.),Aston Villa ,Aston Villa (15.),2:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Leandro Trossard
9,10,10/26/19,H,Brighton,(16.),Everton ,Everton (15.),3:2,LW,,,,,,24',,,,Leandro Trossard
10,11,11/2/19,H,Brighton,(14.),Norwich ,Norwich (19.),2:0,LW,1,1,,,,31',,,,Leandro Trossard
11,12,11/10/19,A,Brighton,(8.),Man Utd ,Man Utd (10.),3:1,LW,,,,,,59',,,,Leandro Trossard
12,13,11/23/19,H,Brighton,(11.),Leicester ,Leicester (2.),0:2,CF,,,,,,90',,,,Leandro Trossard
13,14,11/30/19,A,Brighton,(12.),Liverpool ,Liverpool (1.),2:1,,,,,,,21',,,,Leandro Trossard
14,15,12/5/19,A,Brighton,(16.),Arsenal ,Arsenal (8.),1:2,LW,,,,,,10',,,,Leandro Trossard
15,16,12/8/19,H,Brighton,(13.),Wolves ,Wolves (5.),2:2,LW,,1,,,,68',,,,Leandro Trossard
16,17,12/16/19,A,Brighton,(12.),Crystal Palace ,Crystal Palace (10.),1:1,LW,,1,,,,84',,,,Leandro Trossard
17,18,12/21/19,H,Brighton,(13.),Sheffield Utd. ,Sheffield Utd. (7.),0:1,LW,,,,,,45',,,,Leandro Trossard
18,19,12/26/19,A,Brighton,(13.),Spurs ,Spurs (7.),2:1,LW,,,,,,14',,,,Leandro Trossard
19,20,12/28/19,H,Brighton,(15.),Bournemouth ,Bournemouth (16.),2:0,LW,,1,,,,90',,,,Leandro Trossard
20,21,1/1/20,H,Brighton,(14.),Chelsea ,Chelsea (4.),1:1,LW,,,,,,90',,,,Leandro Trossard
21,22,1/11/20,A,Brighton,(14.),Everton ,Everton (11.),1:0,LW,,,,,,90',,,,Leandro Trossard
22,23,1/18/20,H,Brighton,(14.),Aston Villa ,Aston Villa (18.),1:1,RM,1,,,,,81',,,,Leandro Trossard
23,24,1/21/20,A,Brighton,(15.),Bournemouth ,Bournemouth (19.),3:1,,,,,,,30',,,,Leandro Trossard
24,25,2/1/20,A,Brighton,(15.),West Ham ,West Ham (17.),3:3,LM,,,,,,90',,,,Leandro Trossard
25,26,2/8/20,H,Brighton,(15.),Watford ,Watford (19.),1:1,LW,,,,,,90',,,,Leandro Trossard
26,27,2/22/20,A,Brighton,(15.),Sheffield Utd. ,Sheffield Utd. (6.),1:1,,,,,,,15',,,,Leandro Trossard
27,28,2/29/20,H,Brighton,(15.),Crystal Palace ,Crystal Palace (13.),0:1,AM,,,,,,90',,,,Leandro Trossard
28,29,3/7/20,A,Brighton,(15.),Wolves ,Wolves (6.),0:0,LW,,,,,,82',,,,Leandro Trossard
