,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/10/19,H,West Ham,(16.),Man City ,Man City (2.),0:5,LB,,,,,,90',,,,Aaron Cresswell
1,2,8/17/19,A,West Ham,(20.),Brighton ,Brighton (5.),1:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Aaron Cresswell
2,3,8/24/19,A,West Ham,(16.),Watford ,Watford (20.),1:3,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Aaron Cresswell
3,4,8/31/19,H,West Ham,(14.),Norwich ,Norwich (17.),2:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Aaron Cresswell
4,5,9/16/19,A,West Ham,(7.),Aston Villa ,Aston Villa (18.),0:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Aaron Cresswell
5,6,9/22/19,H,West Ham,(8.),Man Utd ,Man Utd (4.),2:0,LB,1,,,,,90',,,,Aaron Cresswell
6,7,9/28/19,A,West Ham,(5.),Bournemouth ,Bournemouth (6.),2:2,LB,1,,,,,90',,,,Aaron Cresswell
7,8,10/5/19,H,West Ham,(5.),Crystal Palace ,Crystal Palace (9.),1:2,LB,,,,,,84',,,,Aaron Cresswell
8,9,10/19/19,A,West Ham,(8.),Everton ,Everton (18.),2:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Aaron Cresswell
9,10,10/26/19,H,West Ham,(11.),Sheffield Utd. ,Sheffield Utd. (9.),1:1,LB,,,,,,90',,,,Aaron Cresswell
10,11,11/2/19,H,West Ham,(10.),Newcastle ,Newcastle (17.),2:3,LB,,,49',,,90',,,,Aaron Cresswell
11,12,11/9/19,A,West Ham,(13.),Burnley ,Burnley (14.),3:0,LB,,,,,,90',,,,Aaron Cresswell
12,13,11/23/19,H,West Ham,(16.),Spurs ,Spurs (14.),2:3,LB,,,,,,90',,,,Aaron Cresswell
13,14,11/30/19,A,West Ham,(17.),Chelsea ,Chelsea (4.),0:1,LB,1,,90',,,90',,,,Aaron Cresswell
14,15,12/4/19,A,West Ham,(13.),Wolves ,Wolves (6.),2:0,LB,,,78',,,90',,,,Aaron Cresswell
15,16,12/9/19,H,West Ham,(15.),Arsenal ,Arsenal (10.),1:3,LB,,,49',,,51',,,,Aaron Cresswell
16,17,12/14/19,A,West Ham,(16.),Southampton ,Southampton (18.),0:1,LB,,,,,,90',,,,Aaron Cresswell
17,19,12/26/19,A,West Ham,(16.),Crystal Palace ,Crystal Palace (12.),2:1,LB,,,90',,,90',,,,Aaron Cresswell
18,20,12/28/19,H,West Ham,(17.),Leicester ,Leicester (2.),1:2,Yellow card suspension,Yellow card suspension,Yellow card suspension,Yellow card suspension,Yellow card suspension,Yellow card suspension,Yellow card suspension,Yellow card suspension,,,Aaron Cresswell
19,21,1/1/20,H,West Ham,(17.),Bournemouth ,Bournemouth (16.),4:0,LB,,,76',,,90',,,,Aaron Cresswell
20,22,1/10/20,A,West Ham,(16.),Sheffield Utd. ,Sheffield Utd. (8.),1:0,CB,,,,,,90',,,,Aaron Cresswell
21,23,1/18/20,H,West Ham,(16.),Everton ,Everton (11.),1:1,LB,,,,,,90',,,,Aaron Cresswell
22,24,1/22/20,A,West Ham,(16.),Leicester ,Leicester (3.),4:1,CB,,,,,,90',,,,Aaron Cresswell
23,18,1/29/20,H,West Ham,(15.),Liverpool ,Liverpool (1.),0:2,CB,,,,,,90',,,,Aaron Cresswell
24,25,2/1/20,H,West Ham,(17.),Brighton ,Brighton (15.),3:3,LB,,,,,,90',,,,Aaron Cresswell
25,26,2/19/20,A,West Ham,(18.),Man City ,Man City (2.),2:0,CB,,,,,,90',,,,Aaron Cresswell
26,27,2/24/20,A,West Ham,(18.),Liverpool ,Liverpool (1.),3:2,LB,,,,,,90',,,,Aaron Cresswell
27,28,2/29/20,H,West Ham,(18.),Southampton ,Southampton (12.),3:1,LB,,,65',,,90',,,,Aaron Cresswell
28,29,3/7/20,A,West Ham,(16.),Arsenal ,Arsenal (10.),1:0,LB,,,,,,90',,,,Aaron Cresswell
