,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/11/19,H,Newcastle,(13.),Arsenal ,Arsenal (9.),0:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Christian Atsu
1,2,8/17/19,A,Newcastle,(14.),Norwich ,Norwich (16.),3:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Christian Atsu
2,3,8/25/19,A,Newcastle,(18.),Spurs ,Spurs (6.),0:1,LW,,1,,,,73',,,,Christian Atsu
3,4,8/31/19,H,Newcastle,(19.),Watford ,Watford (20.),1:1,LW,,,,,,82',,,,Christian Atsu
4,5,9/14/19,A,Newcastle,(14.),Liverpool ,Liverpool (1.),3:1,LW,,1,,,,90',,,,Christian Atsu
5,6,9/21/19,H,Newcastle,(18.),Brighton ,Brighton (16.),0:0,AM,,,79',,,90',,,,Christian Atsu
6,7,9/29/19,A,Newcastle,(17.),Leicester ,Leicester (3.),5:0,LW,,,,,,90',,,,Christian Atsu
7,8,10/6/19,H,Newcastle,(19.),Man Utd ,Man Utd (10.),1:0,LW,,,,,,7',,,,Christian Atsu
8,9,10/19/19,A,Newcastle,(16.),Chelsea ,Chelsea (5.),1:0,LW,,,,,,7',,,,Christian Atsu
9,10,10/27/19,H,Newcastle,(18.),Wolves ,Wolves (13.),1:1,,,,,,,1',,,,Christian Atsu
10,11,11/2/19,A,Newcastle,(17.),West Ham ,West Ham (10.),2:3,LW,,,,,,13',,,,Christian Atsu
11,12,11/9/19,H,Newcastle,(15.),Bournemouth ,Bournemouth (7.),2:1,,,,,,,1',,,,Christian Atsu
12,13,11/25/19,A,Newcastle,(13.),Aston Villa ,Aston Villa (17.),2:0,RW,,,,,,11',,,,Christian Atsu
13,14,11/30/19,H,Newcastle,(14.),Man City ,Man City (3.),2:2,RW,,1,,,,10',,,,Christian Atsu
14,15,12/5/19,A,Newcastle,(14.),Sheffield Utd. ,Sheffield Utd. (7.),0:2,LW,,,,,,9',,,,Christian Atsu
15,16,12/8/19,H,Newcastle,(11.),Southampton ,Southampton (17.),2:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Christian Atsu
16,17,12/14/19,A,Newcastle,(11.),Burnley ,Burnley (13.),1:0,RW,,,,,,80',,,,Christian Atsu
17,18,12/21/19,H,Newcastle,(11.),Crystal Palace ,Crystal Palace (9.),1:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Christian Atsu
18,19,12/26/19,A,Newcastle,(9.),Man Utd ,Man Utd (8.),4:1,LW,,,,,,31',,,,Christian Atsu
19,20,12/28/19,H,Newcastle,(10.),Everton ,Everton (13.),1:2,RW,,,,,,16',,,,Christian Atsu
20,21,1/1/20,H,Newcastle,(11.),Leicester ,Leicester (2.),0:3,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Christian Atsu
21,22,1/11/20,A,Newcastle,(13.),Wolves ,Wolves (7.),1:1,RW,,,67',,,62',,,,Christian Atsu
22,23,1/18/20,H,Newcastle,(13.),Chelsea ,Chelsea (4.),1:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Christian Atsu
23,24,1/21/20,A,Newcastle,(12.),Everton ,Everton (11.),2:2,LW,,,,,,62',,,,Christian Atsu
24,25,2/1/20,H,Newcastle,(14.),Norwich ,Norwich (20.),0:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Christian Atsu
25,26,2/16/20,A,Newcastle,(12.),Arsenal ,Arsenal (10.),4:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Christian Atsu
26,27,2/22/20,A,Newcastle,(13.),Crystal Palace ,Crystal Palace (14.),1:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Christian Atsu
27,28,2/29/20,H,Newcastle,(14.),Burnley ,Burnley (10.),0:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Christian Atsu
28,29,3/7/20,A,Newcastle,(14.),Southampton ,Southampton (13.),0:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Christian Atsu
