,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,2,8/17/19,A,Liverpool,(3.),Southampton ,Southampton (18.),1:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Andy Lonergan
1,3,8/24/19,H,Liverpool,(1.),Arsenal ,Arsenal (2.),3:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy Lonergan
2,4,8/31/19,A,Liverpool,(1.),Burnley ,Burnley (6.),0:3,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy Lonergan
3,5,9/14/19,H,Liverpool,(1.),Newcastle ,Newcastle (14.),3:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy Lonergan
4,6,9/22/19,A,Liverpool,(1.),Chelsea ,Chelsea (6.),1:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy Lonergan
5,7,9/28/19,A,Liverpool,(1.),Sheffield Utd. ,Sheffield Utd. (10.),0:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy Lonergan
6,8,10/5/19,H,Liverpool,(1.),Leicester ,Leicester (3.),2:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy Lonergan
7,9,10/20/19,A,Liverpool,(1.),Man Utd ,Man Utd (12.),1:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy Lonergan
8,10,10/27/19,H,Liverpool,(1.),Spurs ,Spurs (7.),2:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy Lonergan
9,11,11/2/19,A,Liverpool,(1.),Aston Villa ,Aston Villa (15.),1:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy Lonergan
10,12,11/10/19,H,Liverpool,(1.),Man City ,Man City (2.),3:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy Lonergan
11,13,11/23/19,A,Liverpool,(1.),Crystal Palace ,Crystal Palace (12.),1:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy Lonergan
12,14,11/30/19,H,Liverpool,(1.),Brighton ,Brighton (12.),2:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy Lonergan
13,15,12/4/19,H,Liverpool,(1.),Everton ,Everton (17.),5:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy Lonergan
14,16,12/7/19,A,Liverpool,(1.),Bournemouth ,Bournemouth (14.),0:3,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy Lonergan
15,17,12/14/19,H,Liverpool,(1.),Watford ,Watford (20.),2:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy Lonergan
16,19,12/26/19,A,Liverpool,(1.),Leicester ,Leicester (2.),0:4,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy Lonergan
17,20,12/29/19,H,Liverpool,(1.),Wolves ,Wolves (5.),1:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy Lonergan
18,21,1/2/20,H,Liverpool,(1.),Sheffield Utd. ,Sheffield Utd. (8.),2:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy Lonergan
19,22,1/11/20,A,Liverpool,(1.),Spurs ,Spurs (6.),0:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy Lonergan
20,23,1/19/20,H,Liverpool,(1.),Man Utd ,Man Utd (5.),2:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy Lonergan
21,24,1/23/20,A,Liverpool,(1.),Wolves ,Wolves (6.),1:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy Lonergan
22,18,1/29/20,A,Liverpool,(1.),West Ham ,West Ham (15.),0:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy Lonergan
23,25,2/1/20,H,Liverpool,(1.),Southampton ,Southampton (9.),4:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy Lonergan
24,26,2/15/20,A,Liverpool,(1.),Norwich ,Norwich (20.),0:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy Lonergan
25,27,2/24/20,H,Liverpool,(1.),West Ham ,West Ham (18.),3:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy Lonergan
26,28,2/29/20,A,Liverpool,(1.),Watford ,Watford (19.),3:0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Andy Lonergan
27,29,3/7/20,H,Liverpool,(1.),Bournemouth ,Bournemouth (18.),2:1,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Andy Lonergan
