,Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
0,1,8/10/19,A,Southampton,(14.),Burnley ,Burnley (10.),3:0,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Moussa Djenepo
1,2,8/17/19,H,Southampton,(18.),Liverpool ,Liverpool (3.),1:2,LM,,,84',,,13',,,,Moussa Djenepo
2,3,8/24/19,A,Southampton,(19.),Brighton ,Brighton (5.),0:2,LW,1,,63',,,36',,,,Moussa Djenepo
3,4,8/31/19,H,Southampton,(18.),Man Utd ,Man Utd (5.),1:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Moussa Djenepo
4,5,9/14/19,A,Southampton,(13.),Sheffield Utd. ,Sheffield Utd. (10.),0:1,AM,1,,,,,74',,,,Moussa Djenepo
5,6,9/20/19,H,Southampton,(10.),Bournemouth ,Bournemouth (9.),1:3,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Moussa Djenepo
6,7,9/28/19,A,Southampton,(13.),Spurs ,Spurs (7.),2:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Moussa Djenepo
7,8,10/6/19,H,Southampton,(14.),Chelsea ,Chelsea (7.),1:4,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Moussa Djenepo
8,9,10/19/19,A,Southampton,(17.),Wolves ,Wolves (11.),1:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Moussa Djenepo
9,10,10/25/19,H,Southampton,(17.),Leicester ,Leicester (3.),0:9,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Moussa Djenepo
10,11,11/2/19,A,Southampton,(18.),Man City ,Man City (2.),2:1,SS,,,,,,6',,,,Moussa Djenepo
11,12,11/9/19,H,Southampton,(18.),Everton ,Everton (17.),1:2,LW,,,,,,90',,,,Moussa Djenepo
12,13,11/23/19,A,Southampton,(19.),Arsenal ,Arsenal (6.),2:2,AM,,,,,,14',,,,Moussa Djenepo
13,14,11/30/19,H,Southampton,(19.),Watford ,Watford (20.),2:1,RW,,1,,,,90',,,,Moussa Djenepo
14,15,12/4/19,H,Southampton,(18.),Norwich ,Norwich (19.),2:1,RW,,,59',,,72',,,,Moussa Djenepo
15,16,12/8/19,A,Southampton,(17.),Newcastle ,Newcastle (11.),2:1,RW,,,,,,73',,,,Moussa Djenepo
16,17,12/14/19,H,Southampton,(18.),West Ham ,West Ham (16.),0:1,RW,,,,,,90',,,,Moussa Djenepo
17,18,12/21/19,A,Southampton,(18.),Aston Villa ,Aston Villa (17.),1:3,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Moussa Djenepo
18,19,12/26/19,A,Southampton,(17.),Chelsea ,Chelsea (4.),0:2,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Moussa Djenepo
19,20,12/28/19,H,Southampton,(14.),Crystal Palace ,Crystal Palace (9.),1:1,LW,,,,,,27',,,,Moussa Djenepo
20,21,1/1/20,H,Southampton,(15.),Spurs ,Spurs (6.),1:0,LW,,,53',,,58',,,,Moussa Djenepo
21,22,1/11/20,A,Southampton,(12.),Leicester ,Leicester (2.),1:2,LW,,,,,,12',,,,Moussa Djenepo
22,23,1/18/20,H,Southampton,(12.),Wolves ,Wolves (7.),2:3,,,,,,,19',,,,Moussa Djenepo
23,24,1/21/20,A,Southampton,(13.),Crystal Palace ,Crystal Palace (9.),0:2,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,on the bench,,,Moussa Djenepo
24,25,2/1/20,A,Southampton,(9.),Liverpool ,Liverpool (1.),4:0,LW,,,,,,82',,,,Moussa Djenepo
25,26,2/15/20,H,Southampton,(13.),Burnley ,Burnley (11.),1:2,,,,,,,51',,,,Moussa Djenepo
26,27,2/22/20,H,Southampton,(12.),Aston Villa ,Aston Villa (17.),2:0,LW,,1,,,,90',,,,Moussa Djenepo
27,28,2/29/20,A,Southampton,(12.),West Ham ,West Ham (18.),3:1,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,Moussa Djenepo
28,29,3/7/20,H,Southampton,(13.),Newcastle ,Newcastle (14.),0:1,LW,,,,,28',28',,,,Moussa Djenepo
