Player,Team,Position,Position ID,Link
David de Gea,MUN,G,1,https://www.fantrax.com/player/02ln1/nzjt0of2l5v4kmsc/david-de-gea/iy9jb3ozl5v4kmt6
Diogo Dalot,MUN,D,2,https://www.fantrax.com/player/04qfz/nzjt0of2l5v4kmsc/jose-diogo-dalot-teixeira/iy9jb3ozl5v4kmt6
Aaron Wan-Bissaka,MUN,D,2,https://www.fantrax.com/player/04adp/nzjt0of2l5v4kmsc/aaron-wan-bissaka/iy9jb3ozl5v4kmt6
Harry Maguire,MUN,D,2,https://www.fantrax.com/player/03gu4/nzjt0of2l5v4kmsc/harry-maguire/iy9jb3ozl5v4kmt6
Raphael Varane,MUN,D,2,https://www.fantrax.com/player/05up6/nzjt0of2l5v4kmsc/raphael-varane/iy9jb3ozl5v4kmt6
Lisandro Martinez,MUN,D,2,https://www.fantrax.com/player/062pl/nzjt0of2l5v4kmsc/lisandro-martinez/iy9jb3ozl5v4kmt6
Victor Lindelof,MUN,D,2,https://www.fantrax.com/player/04fk8/nzjt0of2l5v4kmsc/victor-lindelof/iy9jb3ozl5v4kmt6
Luke Shaw,MUN,D,2,https://www.fantrax.com/player/02oq6/nzjt0of2l5v4kmsc/luke-shaw/iy9jb3ozl5v4kmt6
Tyrell Malacia,MUN,D,2,https://www.fantrax.com/player/062ft/nzjt0of2l5v4kmsc/tyrell-malacia/iy9jb3ozl5v4kmt6
Casemiro,MUN,M,4,https://www.fantrax.com/player/0642l/nzjt0of2l5v4kmsc/carlos-henrique-casimiro/
Scott McTominay,MUN,M,4,https://www.fantrax.com/player/04civ/nzjt0of2l5v4kmsc/scott-mctominay/iy9jb3ozl5v4kmt6
Fred,MUN,M,4,https://www.fantrax.com/player/04qqv/nzjt0of2l5v4kmsc/frederico-rodrigues-de-paula-santos/iy9jb3ozl5v4kmt6
Donny van de Beek,MUN,M,4,https://www.fantrax.com/player/05o2l/nzjt0of2l5v4kmsc/donny-van-de-beek/iy9jb3ozl5v4kmt6
Bruno Fernandes,MUN,M,4,https://www.fantrax.com/player/05gcr/nzjt0of2l5v4kmsc/bruno-miguel-borges-fernandes/iy9jb3ozl5v4kmt6
Christian Eriksen,MUN,M,4,https://www.fantrax.com/player/037wp/nzjt0of2l5v4kmsc/christian-eriksen/iy9jb3ozl5v4kmt6
Marcel Sabitzer,MUN,M,4,https://www.fantrax.com/player/068yn/nzjt0of2l5v4kmsc/marcel-sabitzer/iy9jb3ozl5v4kmt6
Facundo Pellistri,MUN,M,4,https://www.fantrax.com/player/05ou8/nzjt0of2l5v4kmsc/facundo-pellistri/iy9jb3ozl5v4kmt6
Kobbie Mainoo,MUN,M,4,https://www.fantrax.com/player/0666p/nzjt0of2l5v4kmsc/kobbie-mainoo/iy9jb3ozl5v4kmt6
Alejandro Garnacho Ferreyra,MUN,"M,F",5,https://www.fantrax.com/player/060wh/nzjt0of2l5v4kmsc/alejandro-garnacho-ferreyra/iy9jb3ozl5v4kmt6
Jadon Sancho,MUN,"M,F",5,https://www.fantrax.com/player/04gw7/nzjt0of2l5v4kmsc/jadon-sancho/iy9jb3ozl5v4kmt6
Anthony Elanga,MUN,F,6,https://www.fantrax.com/player/05ogb/nzjt0of2l5v4kmsc/anthony-elanga/iy9jb3ozl5v4kmt6
Marcus Rashford,MUN,F,6,https://www.fantrax.com/player/03ybi/nzjt0of2l5v4kmsc/marcus-rashford/iy9jb3ozl5v4kmt6
Antony,MUN,F,6,https://www.fantrax.com/player/0649i/nzjt0of2l5v4kmsc/antony-matheus-dos-santos/iy9jb3ozl5v4kmt6
Cristiano Ronaldo,MUN,F,6,https://www.fantrax.com/player/05w7s/nzjt0of2l5v4kmsc/cristiano-ronaldo-dos-santos-aveiro/iy9jb3ozl5v4kmt6
Anthony Martial,MUN,F,6,https://www.fantrax.com/player/03vlm/nzjt0of2l5v4kmsc/anthony-martial/iy9jb3ozl5v4kmt6
Wout Weghorst,MUN,F,6,https://www.fantrax.com/player/05ylv/nzjt0of2l5v4kmsc/wout-weghorst/iy9jb3ozl5v4kmt6
